utterance,intent,category
would it be possible to cancel the order I made?,cancel_order,ORDER
cancelling order,cancel_order,ORDER
I need assistance canceling the last order I have made,cancel_order,ORDER
problem with canceling the order I made,cancel_order,ORDER
I don't know how to cancel the order I made,cancel_order,ORDER
can you help me cancel the order I made?,cancel_order,ORDER
I would like to know about order cancellations,cancel_order,ORDER
could you help me cancelling an order?,cancel_order,ORDER
I don't know how to cancel an order I made,cancel_order,ORDER
help me cancelling my last order,cancel_order,ORDER
I do not know how to cancel the last order I made,cancel_order,ORDER
I need assistance with canceling an order I made,cancel_order,ORDER
information about canceling an order,cancel_order,ORDER
I would like to cancel an order,cancel_order,ORDER
I need assistance with cancelling my orders,cancel_order,ORDER
I need assistance with canceling the order I have made,cancel_order,ORDER
assistance canceling the order I have made,cancel_order,ORDER
question about cancelling the last order,cancel_order,ORDER
help me to cancel my last order,cancel_order,ORDER
problem with cancelling orders,cancel_order,ORDER
problems with cancelling an order,cancel_order,ORDER
assistance with cancelling the order I made,cancel_order,ORDER
I need help with cancelling an order I have made,cancel_order,ORDER
I have problems with cancelling my order,cancel_order,ORDER
I do not want to pay for the order I made,cancel_order,ORDER
I have a problem with cancelling orders,cancel_order,ORDER
problems with canceling orders,cancel_order,ORDER
where can I get information about canceling orders?,cancel_order,ORDER
I want assistance cancelling an order I have made,cancel_order,ORDER
cancel order,cancel_order,ORDER
find information about order cancelations,cancel_order,ORDER
can you give me information about cancelling orders?,cancel_order,ORDER
I have a question about cancelling my last order,cancel_order,ORDER
I don't know how to cancel my last order,cancel_order,ORDER
I have problems with canceling my last order,cancel_order,ORDER
problem with cancelling an order I have made,cancel_order,ORDER
I need help with canceling the last order I made,cancel_order,ORDER
how can I find information about cancelling orders?,cancel_order,ORDER
I want to know more about order cancelations,cancel_order,ORDER
I want help to cancel an order I have made,cancel_order,ORDER
I want assistance canceling an order,cancel_order,ORDER
can you help me to cancel the last order I have made?,cancel_order,ORDER
give me information about cancelling orders,cancel_order,ORDER
help cancelling my order,cancel_order,ORDER
I have a question about canceling my order,cancel_order,ORDER
help me canceling my last order,cancel_order,ORDER
would it be possible to cancel my order?,cancel_order,ORDER
where could I get information about cancelling an order?,cancel_order,ORDER
could you help me cancelling an order I made?,cancel_order,ORDER
where can I get information about canceling an order?,cancel_order,ORDER
I have to cancel my last order,cancel_order,ORDER
question about canceling my order,cancel_order,ORDER
assistance cancelling my order,cancel_order,ORDER
I have problems with canceling the order I have made,cancel_order,ORDER
help canceling the last order,cancel_order,ORDER
help canceling an order,cancel_order,ORDER
I try to cancel the order I made,cancel_order,ORDER
I need to cancel my order,cancel_order,ORDER
could you help me cancelling the last order I made?,cancel_order,ORDER
where could I cancel the order I made?,cancel_order,ORDER
I don't know how I could cancel an order I have made,cancel_order,ORDER
I have problems with cancelling the last order I made,cancel_order,ORDER
